N (Total available nodes),m (no of malicous nodes),n (Size of the committee),qp (Quorum percentage) ,How many malicious nodes can be in the committee ,m C  max no. of malicious nodes in the committee ways ,N C n,Probability that a malicious cator can control a mojority of nodes in a randomly selected committee
1,10,10,66.70%,7,210,#NUM!,#NUM!
2,10,10,66.70%,7,210,#NUM!,#NUM!
3,10,10,66.70%,7,210,#NUM!,#NUM!
4,10,10,66.70%,7,210,#NUM!,#NUM!
5,10,10,66.70%,7,210,#NUM!,#NUM!
6,10,10,66.70%,7,210,#NUM!,#NUM!
7,10,10,66.70%,7,210,#NUM!,#NUM!
8,10,10,66.70%,7,210,#NUM!,#NUM!
9,10,10,66.70%,7,210,#NUM!,#NUM!
10,10,10,66.70%,7,210,1,210
11,10,10,66.70%,7,210,11,19.09090909
12,10,10,66.70%,7,210,66,3.181818182
13,10,10,66.70%,7,210,286,0.734265734
14,10,10,66.70%,7,210,1001,0.20979021
15,10,10,66.70%,7,210,3003,0.06993007
16,10,10,66.70%,7,210,8008,0.026223776
17,10,10,66.70%,7,210,19448,0.010798026
18,10,10,66.70%,7,210,43758,0.004799122
19,10,10,66.70%,7,210,92378,0.002273269
20,10,10,66.70%,7,210,184756,0.001136634
21,10,10,66.70%,7,210,352716,0.00059538
22,10,10,66.70%,7,210,646646,0.000324753
23,10,10,66.70%,7,210,1144066,0.000183556
24,10,10,66.70%,7,210,1961256,0.000107074
25,10,10,66.70%,7,210,3268760,6.42445E-05
26,10,10,66.70%,7,210,5311735,3.95351E-05
27,10,10,66.70%,7,210,8436285,2.48925E-05
28,10,10,66.70%,7,210,13123110,1.60023E-05
29,10,10,66.70%,7,210,20030010,1.04843E-05
30,10,10,66.70%,7,210,30045015,6.98951E-06
31,10,10,66.70%,7,210,44352165,4.73483E-06
32,10,10,66.70%,7,210,64512240,3.2552E-06
33,10,10,66.70%,7,210,92561040,2.26877E-06
34,10,10,66.70%,7,210,131128140,1.60149E-06
35,10,10,66.70%,7,210,183579396,1.14392E-06
36,10,10,66.70%,7,210,254186856,8.26164E-07
37,10,10,66.70%,7,210,348330136,6.02876E-07
38,10,10,66.70%,7,210,472733756,4.44225E-07
39,10,10,66.70%,7,210,635745396,3.30321E-07
40,10,10,66.70%,7,210,847660528,2.47741E-07
41,10,10,66.70%,7,210,1121099408,1.87316E-07
42,10,10,66.70%,7,210,1471442973,1.42717E-07
43,10,10,66.70%,7,210,1917334783,1.09527E-07
44,10,10,66.70%,7,210,2481256778,8.46345E-08
45,10,10,66.70%,7,210,3190187286,6.58269E-08
46,10,10,66.70%,7,210,4076350421,5.15167E-08
