N (Total available nodes),m (no of malicous nodes),n (Size of the committee),qp (Quorum percentage) ,How many malicious nodes can be in the committee ,m C  max no. of malicious nodes in the committee ways ,N C n,Probability that a malicious cator can control a mojority of nodes in a randomly selected committee
100,1,10,66.70%,7,#NUM!,1.73103E+13,#NUM!
100,2,10,66.70%,7,#NUM!,1.73103E+13,#NUM!
100,3,10,66.70%,7,#NUM!,1.73103E+13,#NUM!
100,4,10,66.70%,7,#NUM!,1.73103E+13,#NUM!
100,5,10,66.70%,7,#NUM!,1.73103E+13,#NUM!
100,6,10,66.70%,7,1,1.73103E+13,5.7769E-14
100,7,10,66.70%,7,7,1.73103E+13,4.04383E-13
100,8,10,66.70%,7,28,1.73103E+13,1.61753E-12
100,9,10,66.70%,7,84,1.73103E+13,4.8526E-12
100,10,10,66.70%,7,210,1.73103E+13,1.21315E-11
100,11,10,66.70%,7,462,1.73103E+13,2.66893E-11
100,12,10,66.70%,7,924,1.73103E+13,5.33786E-11
100,13,10,66.70%,7,1716,1.73103E+13,9.91317E-11
100,14,10,66.70%,7,3003,1.73103E+13,1.7348E-10
100,15,10,66.70%,7,5005,1.73103E+13,2.89134E-10
100,16,10,66.70%,7,8008,1.73103E+13,4.62614E-10
100,17,10,66.70%,7,12376,1.73103E+13,7.1495E-10
100,18,10,66.70%,7,18564,1.73103E+13,1.07242E-09
100,19,10,66.70%,7,27132,1.73103E+13,1.56739E-09
100,20,10,66.70%,7,38760,1.73103E+13,2.23913E-09
100,21,10,66.70%,7,54264,1.73103E+13,3.13478E-09
100,22,10,66.70%,7,74613,1.73103E+13,4.31032E-09
100,23,10,66.70%,7,100947,1.73103E+13,5.83161E-09
100,24,10,66.70%,7,134596,1.73103E+13,7.77548E-09
100,25,10,66.70%,7,177100,1.73103E+13,1.02309E-08
100,26,10,66.70%,7,230230,1.73103E+13,1.33002E-08
100,27,10,66.70%,7,296010,1.73103E+13,1.71002E-08
100,28,10,66.70%,7,376740,1.73103E+13,2.17639E-08
100,29,10,66.70%,7,475020,1.73103E+13,2.74415E-08
100,30,10,66.70%,7,593775,1.73103E+13,3.43018E-08
100,31,10,66.70%,7,736281,1.73103E+13,4.25342E-08
100,32,10,66.70%,7,906192,1.73103E+13,5.23498E-08
100,33,10,66.70%,7,1107568,1.73103E+13,6.39831E-08
100,34,10,66.70%,7,1344904,1.73103E+13,7.76938E-08
100,35,10,66.70%,7,1623160,1.73103E+13,9.37684E-08
100,36,10,66.70%,7,1947792,1.73103E+13,1.12522E-07
100,37,10,66.70%,7,2324784,1.73103E+13,1.34301E-07
100,38,10,66.70%,7,2760681,1.73103E+13,1.59482E-07
100,39,10,66.70%,7,3262623,1.73103E+13,1.88479E-07
100,40,10,66.70%,7,3838380,1.73103E+13,2.2174E-07
100,41,10,66.70%,7,4496388,1.73103E+13,2.59752E-07
100,42,10,66.70%,7,5245786,1.73103E+13,3.03044E-07
100,43,10,66.70%,7,6096454,1.73103E+13,3.52186E-07
100,44,10,66.70%,7,7059052,1.73103E+13,4.07795E-07
100,45,10,66.70%,7,8145060,1.73103E+13,4.70532E-07
100,46,10,66.70%,7,9366819,1.73103E+13,5.41112E-07
100,47,10,66.70%,7,10737573,1.73103E+13,6.20299E-07
100,48,10,66.70%,7,12271512,1.73103E+13,7.08913E-07
100,49,10,66.70%,7,13983816,1.73103E+13,8.07832E-07
100,50,10,66.70%,7,15890700,1.73103E+13,9.17991E-07
100,51,10,66.70%,7,18009460,1.73103E+13,1.04039E-06
100,52,10,66.70%,7,20358520,1.73103E+13,1.17609E-06
100,53,10,66.70%,7,22957480,1.73103E+13,1.32623E-06
100,54,10,66.70%,7,25827165,1.73103E+13,1.49201E-06
100,55,10,66.70%,7,28989675,1.73103E+13,1.67471E-06
100,56,10,66.70%,7,32468436,1.73103E+13,1.87567E-06
100,57,10,66.70%,7,36288252,1.73103E+13,2.09634E-06
100,58,10,66.70%,7,40475358,1.73103E+13,2.33822E-06
100,59,10,66.70%,7,45057474,1.73103E+13,2.60293E-06
100,60,10,66.70%,7,50063860,1.73103E+13,2.89214E-06
100,61,10,66.70%,7,55525372,1.73103E+13,3.20765E-06
100,62,10,66.70%,7,61474519,1.73103E+13,3.55132E-06
100,63,10,66.70%,7,67945521,1.73103E+13,3.92515E-06
100,64,10,66.70%,7,74974368,1.73103E+13,4.3312E-06
100,65,10,66.70%,7,82598880,1.73103E+13,4.77166E-06
100,66,10,66.70%,7,90858768,1.73103E+13,5.24882E-06
100,67,10,66.70%,7,99795696,1.73103E+13,5.7651E-06
100,68,10,66.70%,7,109453344,1.73103E+13,6.32301E-06
100,69,10,66.70%,7,119877472,1.73103E+13,6.92521E-06
100,70,10,66.70%,7,131115985,1.73103E+13,7.57444E-06
100,71,10,66.70%,7,143218999,1.73103E+13,8.27362E-06
100,72,10,66.70%,7,156238908,1.73103E+13,9.02577E-06
100,73,10,66.70%,7,170230452,1.73103E+13,9.83405E-06
100,74,10,66.70%,7,185250786,1.73103E+13,1.07018E-05
100,75,10,66.70%,7,201359550,1.73103E+13,1.16323E-05
100,76,10,66.70%,7,218618940,1.73103E+13,1.26294E-05
100,77,10,66.70%,7,237093780,1.73103E+13,1.36967E-05
100,78,10,66.70%,7,256851595,1.73103E+13,1.48381E-05
100,79,10,66.70%,7,277962685,1.73103E+13,1.60576E-05
100,80,10,66.70%,7,300500200,1.73103E+13,1.73596E-05
100,81,10,66.70%,7,324540216,1.73103E+13,1.87484E-05
100,82,10,66.70%,7,350161812,1.73103E+13,2.02285E-05
100,83,10,66.70%,7,377447148,1.73103E+13,2.18048E-05
100,84,10,66.70%,7,406481544,1.73103E+13,2.3482E-05
100,85,10,66.70%,7,437353560,1.73103E+13,2.52655E-05
100,86,10,66.70%,7,470155077,1.73103E+13,2.71604E-05
100,87,10,66.70%,7,504981379,1.73103E+13,2.91723E-05
100,88,10,66.70%,7,541931236,1.73103E+13,3.13068E-05
100,89,10,66.70%,7,581106988,1.73103E+13,3.357E-05
100,90,10,66.70%,7,622614630,1.73103E+13,3.59679E-05
100,91,10,66.70%,7,666563898,1.73103E+13,3.85068E-05
100,92,10,66.70%,7,713068356,1.73103E+13,4.11933E-05
100,93,10,66.70%,7,762245484,1.73103E+13,4.40342E-05
100,94,10,66.70%,7,814216767,1.73103E+13,4.70365E-05
