N (Total available nodes),m (no of malicous nodes),n (Size of the committee),qp (Quorum percentage) ,How many malicious nodes can be in the committee ,m C  max no. of malicious nodes in the committee ways ,N C n,Probability that a malicious cator can control a mojority of nodes in a randomly selected committee
100,10,1,66.70%,1,1,100,0.01
100,10,2,66.70%,1,10,4950,0.002020202
100,10,3,66.70%,2,45,161700,0.000278293
100,10,4,66.70%,3,45,3921225,1.1476E-05
100,10,5,66.70%,3,120,75287520,1.59389E-06
100,10,6,66.70%,4,210,1192052400,1.76167E-07
100,10,7,66.70%,5,210,16007560800,1.31188E-08
100,10,8,66.70%,5,252,1.86088E+11,1.3542E-09
100,10,9,66.70%,6,210,1.90223E+12,1.10397E-10
100,10,10,66.70%,7,210,1.73103E+13,1.21315E-11
100,10,11,66.70%,7,120,1.4163E+14,8.47279E-13
100,10,12,66.70%,8,45,1.05042E+15,4.284E-14
100,10,13,66.70%,9,45,7.11054E+15,6.32863E-15
100,10,14,66.70%,9,10,4.41869E+16,2.26311E-16
100,10,15,66.70%,10,1,2.53338E+17,3.94729E-18
100,10,16,66.70%,11,1,1.34586E+18,7.43019E-19
100,10,17,66.70%,11,#NUM!,6.65013E+18,#NUM!
100,10,18,66.70%,12,#NUM!,3.06645E+19,#NUM!
100,10,19,66.70%,13,#NUM!,1.32342E+20,#NUM!
100,10,20,66.70%,13,#NUM!,5.35983E+20,#NUM!
100,10,21,66.70%,14,#NUM!,2.04184E+21,#NUM!
100,10,22,66.70%,15,#NUM!,7.33207E+21,#NUM!
100,10,23,66.70%,15,#NUM!,2.48653E+22,#NUM!
100,10,24,66.70%,16,#NUM!,7.97761E+22,#NUM!
100,10,25,66.70%,17,#NUM!,2.42519E+23,#NUM!
100,10,26,66.70%,17,#NUM!,6.99575E+23,#NUM!
100,10,27,66.70%,18,#NUM!,1.91735E+24,#NUM!
100,10,28,66.70%,19,#NUM!,4.99881E+24,#NUM!
100,10,29,66.70%,19,#NUM!,1.24108E+25,#NUM!
100,10,30,66.70%,20,#NUM!,2.93723E+25,#NUM!
100,10,31,66.70%,21,#NUM!,6.63246E+25,#NUM!
100,10,32,66.70%,21,#NUM!,1.43013E+26,#NUM!
100,10,33,66.70%,22,#NUM!,2.94692E+26,#NUM!
100,10,34,66.70%,23,#NUM!,5.80717E+26,#NUM!
100,10,35,66.70%,23,#NUM!,1.09507E+27,#NUM!
100,10,36,66.70%,24,#NUM!,1.9772E+27,#NUM!
100,10,37,66.70%,25,#NUM!,3.42003E+27,#NUM!
100,10,38,66.70%,25,#NUM!,5.67005E+27,#NUM!
100,10,39,66.70%,26,#NUM!,9.01392E+27,#NUM!
100,10,40,66.70%,27,#NUM!,1.37462E+28,#NUM!
100,10,41,66.70%,27,#NUM!,2.01164E+28,#NUM!
100,10,42,66.70%,28,#NUM!,2.82588E+28,#NUM!
100,10,43,66.70%,29,#NUM!,3.81165E+28,#NUM!
100,10,44,66.70%,29,#NUM!,4.93782E+28,#NUM!
100,10,45,66.70%,30,#NUM!,6.14485E+28,#NUM!
100,10,46,66.70%,31,#NUM!,7.3471E+28,#NUM!
100,10,47,66.70%,31,#NUM!,8.44135E+28,#NUM!
100,10,48,66.70%,32,#NUM!,9.32066E+28,#NUM!
100,10,49,66.70%,33,#NUM!,9.89131E+28,#NUM!
100,10,50,66.70%,33,#NUM!,1.00891E+29,#NUM!
100,10,51,66.70%,34,#NUM!,9.89131E+28,#NUM!
100,10,52,66.70%,35,#NUM!,9.32066E+28,#NUM!
100,10,53,66.70%,35,#NUM!,8.44135E+28,#NUM!
100,10,54,66.70%,36,#NUM!,7.3471E+28,#NUM!
100,10,55,66.70%,37,#NUM!,6.14485E+28,#NUM!
100,10,56,66.70%,37,#NUM!,4.93782E+28,#NUM!
100,10,57,66.70%,38,#NUM!,3.81165E+28,#NUM!
100,10,58,66.70%,39,#NUM!,2.82588E+28,#NUM!
100,10,59,66.70%,39,#NUM!,2.01164E+28,#NUM!
100,10,60,66.70%,40,#NUM!,1.37462E+28,#NUM!
100,10,61,66.70%,41,#NUM!,9.01392E+27,#NUM!
100,10,62,66.70%,41,#NUM!,5.67005E+27,#NUM!
100,10,63,66.70%,42,#NUM!,3.42003E+27,#NUM!
100,10,64,66.70%,43,#NUM!,1.9772E+27,#NUM!
100,10,65,66.70%,43,#NUM!,1.09507E+27,#NUM!
100,10,66,66.70%,44,#NUM!,5.80717E+26,#NUM!
100,10,67,66.70%,45,#NUM!,2.94692E+26,#NUM!
100,10,68,66.70%,45,#NUM!,1.43013E+26,#NUM!
100,10,69,66.70%,46,#NUM!,6.63246E+25,#NUM!
100,10,70,66.70%,47,#NUM!,2.93723E+25,#NUM!
100,10,71,66.70%,47,#NUM!,1.24108E+25,#NUM!
100,10,72,66.70%,48,#NUM!,4.99881E+24,#NUM!
100,10,73,66.70%,49,#NUM!,1.91735E+24,#NUM!
100,10,74,66.70%,49,#NUM!,6.99575E+23,#NUM!
100,10,75,66.70%,50,#NUM!,2.42519E+23,#NUM!
100,10,76,66.70%,51,#NUM!,7.97761E+22,#NUM!
100,10,77,66.70%,51,#NUM!,2.48653E+22,#NUM!
100,10,78,66.70%,52,#NUM!,7.33207E+21,#NUM!
100,10,79,66.70%,53,#NUM!,2.04184E+21,#NUM!
100,10,80,66.70%,53,#NUM!,5.35983E+20,#NUM!
100,10,81,66.70%,54,#NUM!,1.32342E+20,#NUM!
100,10,82,66.70%,55,#NUM!,3.06645E+19,#NUM!
100,10,83,66.70%,55,#NUM!,6.65013E+18,#NUM!
100,10,84,66.70%,56,#NUM!,1.34586E+18,#NUM!
100,10,85,66.70%,57,#NUM!,2.53338E+17,#NUM!
100,10,86,66.70%,57,#NUM!,4.41869E+16,#NUM!
100,10,87,66.70%,58,#NUM!,7.11054E+15,#NUM!
100,10,88,66.70%,59,#NUM!,1.05042E+15,#NUM!
100,10,89,66.70%,59,#NUM!,1.4163E+14,#NUM!
100,10,90,66.70%,60,#NUM!,1.73103E+13,#NUM!
100,10,91,66.70%,61,#NUM!,1.90223E+12,#NUM!
100,10,92,66.70%,61,#NUM!,1.86088E+11,#NUM!
100,10,93,66.70%,62,#NUM!,16007560800,#NUM!
